i,j,family_i,family_j,era_i,era_j,within_family,between_family,within_era,across_era,phi_primary,jaccard,overlap,cosine,phi,yule_q,cohen_kappa,ci_lo,ci_hi
DeepSeek-R1,Gemma-4-12B,DeepSeek,Gemma,2025Q1,2026Q2,0,1,0,1,0.04826530328489524,0.28812260536398465,0.46824408468244083,0.4477986854476104,0.04826530328489524,0.09873568872799439,0.048122578040628305,0.004696358310571855,0.09126338754137127
DeepSeek-R1,Llama-1,DeepSeek,Llama,2025Q1,2023Q1,0,1,0,1,0.04010446208217036,0.2880970432145565,0.4628501827040195,0.44757390734609087,0.04010446208217036,0.08186071012002559,0.040036313003367456,-0.0017245161113243785,0.08467524520840493
DeepSeek-R1,Llama-2,DeepSeek,Llama,2025Q1,2023Q3,0,1,0,1,0.05961888546522791,0.26542207792207795,0.4801762114537445,0.4228895356840685,0.05961888546522791,0.12569084918980702,0.05835298132729566,0.01515187164969165,0.10294614744515311
DeepSeek-R1,Llama-3,DeepSeek,Llama,2025Q1,2024Q2,0,1,0,1,0.02959398300885902,0.3292181069958848,0.5466970387243736,0.4975549449015081,0.02959398300885902,0.059714867617107946,0.029106937219552886,-0.0112773847675456,0.07117730033332033
DeepSeek-R1,Llama-3.1,DeepSeek,Llama,2025Q1,2024Q3,0,1,0,1,0.09766959089126293,0.34757422157856627,0.5466970387243736,0.5166747291825771,0.09766959089126293,0.1948989974141086,0.09712744231536212,0.05321826490041345,0.14531672900718448
DeepSeek-R1,Llama-3.2,DeepSeek,Llama,2025Q1,2024Q3,0,1,0,1,0.011574642021089794,0.296987087517934,0.4715261958997722,0.4581541332211689,0.011574642021089794,0.02337306346215032,0.011558711395316024,-0.033195606581257385,0.05487269836981245
DeepSeek-R1,Llama-3.3,DeepSeek,Llama,2025Q1,2024Q4,0,1,0,1,0.04834908689624388,0.3064992614475628,0.47266514806378135,0.4692043034660904,0.04834908689624388,0.09765434676689635,0.04834489035189947,0.004892787797586772,0.09461071253495595
DeepSeek-R1,Llama-4,DeepSeek,Llama,2025Q1,2025Q2,0,1,0,1,0.04307798441812751,0.31831187410586553,0.5068337129840547,0.4834472524317815,0.04307798441812751,0.08666463847479972,0.042913239532805014,-0.00017774683095359944,0.08568638768951004
DeepSeek-R1,Ministral-3,DeepSeek,Mistral,2025Q1,2025Q4,0,1,0,1,0.01134964416603377,0.27259036144578314,0.4458128078817734,0.4287294313962275,0.01134964416603377,0.023269900560294786,0.011323720861683538,-0.03050718517016745,0.056485303042602825
DeepSeek-R1,Mistral-7B,DeepSeek,Mistral,2025Q1,2023Q3,0,1,0,1,0.04192192577817135,0.25545675020210185,0.46814814814814815,0.41047615943635574,0.04192192577817135,0.08885306164844445,0.040974644660800745,-0.0033356564925472324,0.08437123780251264
DeepSeek-R1,Mistral-Large-2,DeepSeek,Mistral,2025Q1,2024Q3,0,1,0,1,0.04496525553467305,0.2954887218045113,0.4650887573964497,0.45626477154208067,0.04496525553467305,0.0913725571467059,0.044939811841930875,0.00038869850183747374,0.08664461433240862
DeepSeek-R1,Mistral-Large-3,DeepSeek,Mistral,2025Q1,2025Q4,0,1,0,1,0.06411061733708052,0.27980922098569155,0.4808743169398907,0.43907616771019625,0.06411061733708052,0.13296201828813353,0.0633761464854896,0.022546197958303076,0.10525641296360651
DeepSeek-R1,Mistral-Medium-3,DeepSeek,Mistral,2025Q1,2025Q2,0,1,0,1,0.008221164107763938,0.2561919504643963,0.4442953020134228,0.4092631093471366,0.008221164107763938,0.017122172888373848,0.008143339285161321,-0.04172063924487544,0.048274943554013995
DeepSeek-R1,Mistral-Medium-3.5,DeepSeek,Mistral,2025Q1,2026Q2,0,1,0,1,0.07568741495938533,0.34022824536376606,0.5432801822323462,0.5088081771784584,0.07568741495938533,0.1516482629145891,0.07511283623397937,0.03046462601594638,0.12669156479138227
DeepSeek-R1,Mistral-Small-2,DeepSeek,Mistral,2025Q1,2024Q3,0,1,0,1,0.0787062552385266,0.3294203961848863,0.5113895216400911,0.49582183114527933,0.0787062552385266,0.15776456348997528,0.07858073205450299,0.03337344776271424,0.12722156495775155
DeepSeek-R1,Mistral-Small-3,DeepSeek,Mistral,2025Q1,2025Q1,0,1,1,0,0.015001195441492313,0.3039772727272727,0.4874715261958998,0.46667416224552516,0.015001195441492313,0.030243394676707138,0.014952617210587158,-0.027633726563879475,0.0567398961982386
DeepSeek-R1,Mistral-Small-3.1,DeepSeek,Mistral,2025Q1,2025Q1,0,1,1,0,0.07413198427503012,0.342998585572843,0.5523917995444191,0.5122495783675673,0.07413198427503012,0.14865274482780919,0.07337401577159308,0.03221628292073316,0.11381547399470476
DeepSeek-R1,Mistral-Small-3.2,DeepSeek,Mistral,2025Q1,2025Q2,0,1,0,1,0.04464736977389968,0.2510220768601799,0.4708588957055215,0.4057582134343931,0.04464736977389968,0.09538635330421964,0.043385995839355714,0.0016158902714419907,0.08990271010234308
DeepSeek-R1,Mistral-Small-4,DeepSeek,Mistral,2025Q1,2026Q1,0,1,0,1,0.06012429219639873,0.3407665505226481,0.5569476082004556,0.5102649748515483,0.06012429219639873,0.12092713780890056,0.059279324431291594,0.015462258950690517,0.09960158392782442
DeepSeek-R1,Mixtral-8x22B,DeepSeek,Mistral,2025Q1,2024Q2,0,1,0,1,0.04118860555551593,0.2849503437738732,0.4639303482587065,0.44394947779993554,0.04118860555551593,0.08432513388781611,0.0410700674529347,-0.002490199379177864,0.08072321373159065
DeepSeek-R1,Mixtral-8x7B,DeepSeek,Mistral,2025Q1,2023Q4,0,1,0,1,0.050622243570400294,0.3286219081272085,0.5296127562642369,0.49576040071091204,0.050622243570400294,0.10174845992150763,0.05023174345459715,0.006474785011139316,0.0891058462581049
DeepSeek-R1,Phi-1,DeepSeek,Phi,2025Q1,2023Q2,0,1,0,1,0.022995751540403026,0.27870090634441086,0.452760736196319,0.43621470708736837,0.022995751540403026,0.047076552392865685,0.022947934890478038,-0.02319832884901693,0.06678917964123948
DeepSeek-R1,Phi-1.5,DeepSeek,Phi,2025Q1,2023Q3,0,1,0,1,0.046162953125759604,0.33030090972708187,0.5375854214123007,0.4980316278636312,0.046162953125759604,0.09287171190021451,0.04567782801459096,0.0018304690939228284,0.09520296894250253
DeepSeek-R1,Phi-2,DeepSeek,Phi,2025Q1,2023Q4,0,1,0,1,0.03654237340485921,0.2980769230769231,0.45952109464082097,0.45925933381374684,0.03654237340485921,0.07401695270762132,0.036542354572718067,-0.008141617356172722,0.07709204348879067
DeepSeek-R1,Phi-3,DeepSeek,Phi,2025Q1,2024Q2,0,1,0,1,0.06522035471563511,0.33617021276595743,0.5398633257403189,0.5043500791975666,0.06522035471563511,0.1308806521791875,0.06468465083558836,0.01951668505826491,0.10928499042972106
DeepSeek-R1,Phi-3.5,DeepSeek,Phi,2025Q1,2024Q3,0,1,0,1,0.0989438796328058,0.3569907735982967,0.5728929384965832,0.5279106916144735,0.0989438796328058,0.19772037760023206,0.09774256384517035,0.05710224191371493,0.1466704249389597
DeepSeek-R1,Phi-4,DeepSeek,Phi,2025Q1,2024Q4,0,1,0,1,0.03997237573468245,0.35119047619047616,0.6047835990888383,0.525030218722525,0.03997237573468245,0.08166953995399957,0.03835785635164135,-0.0036948841445282442,0.08761666916116387
DeepSeek-R1,Phi-4-reasoning-plus,DeepSeek,Phi,2025Q1,2025Q2,0,1,0,1,0.07046619375851934,0.3431786216596343,0.5558086560364465,0.5126638744862767,0.07046619375851934,0.1414419372592185,0.06963215606273118,0.030142103849374564,0.1144261443839078
DeepSeek-R1,Phi-4-reasoning-vision-15B,DeepSeek,Phi,2025Q1,2026Q1,0,1,0,1,0.04990843269335563,0.33725761772853186,0.5546697038724373,0.5064860843525794,0.04990843269335563,0.10052471356167111,0.04914820768908229,0.00824134521383782,0.09429014333216391
DeepSeek-R1,Qwen-7B,DeepSeek,Qwen,2025Q1,2023Q3,0,1,0,1,0.08044395487072618,0.3281710914454277,0.5068337129840547,0.49432423452473606,0.08044395487072618,0.16129136832038643,0.08036091039222462,0.036477244836294234,0.1239879188216876
DeepSeek-R1,Qwen1.5,DeepSeek,Qwen,2025Q1,2024Q1,0,1,0,1,0.04591705916041966,0.35596572181938035,0.6150341685649203,0.5307495068649316,0.04591705916041966,0.09403903507116161,0.04387975393359802,0.004479641602842966,0.08854361061113807
DeepSeek-R1,Qwen2,DeepSeek,Qwen,2025Q1,2024Q2,0,1,0,1,0.06300633438355366,0.3143068939955523,0.48291571753986334,0.4783073790650182,0.06300633438355366,0.12695515843366853,0.06299699146061039,0.020471501887554668,0.1027617087363049
DeepSeek-R1,Qwen2.5,DeepSeek,Qwen,2025Q1,2024Q3,0,1,0,1,0.044096910672752,0.34936539746158984,0.5956719817767654,0.5223016273218183,0.044096910672752,0.08973227785441185,0.042586236046726546,-0.0016239270387614527,0.08650494977288359
DeepSeek-R1,Qwen3,DeepSeek,Qwen,2025Q1,2025Q2,0,1,0,1,0.03395974609182253,0.3060188542422045,0.4806378132118451,0.4687748920661542,0.03395974609182253,0.0685112472936773,0.033924688523994426,-0.012640651051806907,0.07372972271727767
DeepSeek-R1,Qwen3.5,DeepSeek,Qwen,2025Q1,2026Q1,0,1,0,1,0.050900817188699085,0.32160804020100503,0.510250569476082,0.48721159173905776,0.050900817188699085,0.10232556254129627,0.0507149271812964,0.0013831707962974503,0.09529167236144516
DeepSeek-R1,Qwen3.6,DeepSeek,Qwen,2025Q1,2026Q2,0,1,0,1,0.07009753775126457,0.3338119167264896,0.5296127562642369,0.5012941737498869,0.07009753775126457,0.14053944842913427,0.06973014154537077,0.0241852452834743,0.11112453678046294
DeepSeek-V3,DeepSeek-V3.1,DeepSeek,DeepSeek,2024Q4,2025Q3,1,0,0,1,0.040606098655004606,0.31263537906137184,0.4887133182844244,0.47650019119329706,0.040606098655004606,0.08174805318254384,0.04056244003515257,-0.0023012566597712517,0.08356894718891861
DeepSeek-V3,DeepSeek-V3.2,DeepSeek,DeepSeek,2024Q4,2025Q4,1,0,0,1,0.006370078253719229,0.28246515040352166,0.4466357308584687,0.44054495851685416,0.006370078253719229,0.012944475880897605,0.0063681842750144685,-0.03375662352690709,0.04889157877350679
DeepSeek-V3,DeepSeek-V4,DeepSeek,DeepSeek,2024Q4,2026Q2,1,0,0,1,0.07047728810330604,0.30268199233716475,0.48525798525798525,0.4651232320226119,0.07047728810330604,0.1432491972997622,0.07028635180364456,0.029981066101679717,0.1141118876923003
DeepSeek-V3,Devstral-2,DeepSeek,Mistral,2024Q4,2025Q4,0,1,0,1,0.05887647659390088,0.31236121391561805,0.4762979683972912,0.4760294045369778,0.05887647659390088,0.11869585285455786,0.05887644638229664,0.01566917352894533,0.09851467574459234
DeepSeek-V3,Gemma-1,DeepSeek,Gemma,2024Q4,2024Q1,0,1,0,1,0.07031193269681867,0.37294812869336835,0.6410835214446953,0.5497154602945001,0.07031193269681867,0.14439220953660176,0.06680868112217471,0.02857078062631708,0.11565507306522829
DeepSeek-V3,Gemma-2,DeepSeek,Gemma,2024Q4,2024Q2,0,1,0,1,0.05994985128172072,0.2764098490865767,0.4826629680998613,0.4354063420874437,0.05994985128172072,0.12473012286769805,0.059072871759172196,0.017662112054835994,0.10419403236012509
DeepSeek-V3,Gemma-3,DeepSeek,Gemma,2024Q4,2025Q1,0,1,0,1,0.05921060514692332,0.32220609579100146,0.5011286681715575,0.4875601307077301,0.05921060514692332,0.11892259821081291,0.05913545225968676,0.015303587655147005,0.09960587578882023
DeepSeek-V3,Gemma-3n,DeepSeek,Gemma,2024Q4,2025Q2,0,1,0,1,0.05095607631209305,0.2992481203007519,0.47268408551068886,0.46079755429260644,0.05095607631209305,0.10342373358271333,0.05090489904153629,0.005968913888680371,0.09778644555552468
DeepSeek-V3,Gemma-4,DeepSeek,Gemma,2024Q4,2026Q2,0,1,0,1,0.06250814606079765,0.3405746320953048,0.5485327313769752,0.5094882663261837,0.06250814606079765,0.12544101778620184,0.06188751024347057,0.021748291648554123,0.10517540847786933
DeepSeek-V3,Gemma-4-12B,DeepSeek,Gemma,2024Q4,2026Q2,0,1,0,1,0.04573044309266701,0.28832951945080093,0.47073474470734744,0.4481435666389053,0.04573044309266701,0.09350844561260607,0.045565305633926585,0.0054031135197078325,0.091109914646085
DeepSeek-V3,Llama-1,DeepSeek,Llama,2024Q4,2023Q1,0,1,0,1,0.04971583201165302,0.2941622441243366,0.4725943970767357,0.45492864777494035,0.04971583201165302,0.10126661415156858,0.04960626545283048,0.009716276884571466,0.08998907743674768
DeepSeek-V3,Llama-2,DeepSeek,Llama,2024Q4,2023Q3,0,1,0,1,0.060148087990302544,0.2667744543249798,0.4845814977973568,0.4248381636806624,0.060148087990302544,0.12671329422346322,0.058771276231432336,0.012328794072940137,0.10323817736528644
DeepSeek-V3,Llama-3,DeepSeek,Llama,2024Q4,2024Q2,0,1,0,1,0.05933300553788189,0.34485141672425706,0.5632054176072234,0.5149093191698212,0.05933300553788189,0.11933784129121759,0.05844026856302889,0.020966160531070838,0.10380725024323648
DeepSeek-V3,Llama-3.1,DeepSeek,Llama,2024Q4,2024Q3,0,1,0,1,0.08361913916024583,0.3426724137931034,0.5383747178329571,0.5111222173457299,0.08361913916024583,0.1671368493067992,0.08322328672968209,0.04365742559871205,0.12466890844540524
DeepSeek-V3,Llama-3.2,DeepSeek,Llama,2024Q4,2024Q3,0,1,0,1,0.0282732225345138,0.3064748201438849,0.48081264108352145,0.4693007668719979,0.0282732225345138,0.05698596705308115,0.028245398278260454,-0.012383459983704981,0.0713478511134505
DeepSeek-V3,Llama-3.3,DeepSeek,Llama,2024Q4,2024Q4,0,1,1,0,0.026908708201329082,0.29802775748721694,0.4604966139954853,0.4592027181703491,0.026908708201329082,0.05441901040706747,0.02690836332264709,-0.015997055528397305,0.07159765687095183
DeepSeek-V3,Llama-4,DeepSeek,Llama,2024Q4,2025Q2,0,1,0,1,0.059433639639673706,0.3278335724533716,0.5158013544018059,0.49423748666454076,0.059433639639673706,0.1192424738418264,0.05924639310850293,0.019632186614438184,0.10352361884668235
DeepSeek-V3,Ministral-3,DeepSeek,Mistral,2024Q4,2025Q4,0,1,0,1,0.06412192939559197,0.2991583779648049,0.4815270935960591,0.46097978586401817,0.06412192939559197,0.1305245766212309,0.06393832620727448,0.023707446612066644,0.1112139549248256
DeepSeek-V3,Mistral-7B,DeepSeek,Mistral,2024Q4,2023Q3,0,1,0,1,0.03613437078822116,0.25381526104417673,0.46814814814814815,0.40861879172003773,0.03613437078822116,0.07660025721441303,0.035256243834051536,-0.006498520280778806,0.07939649026331558
DeepSeek-V3,Mistral-Large-2,DeepSeek,Mistral,2024Q4,2024Q3,0,1,0,1,0.09712941881008945,0.32238349885408707,0.49940828402366866,0.48771626083333613,0.09712941881008945,0.19539881198834125,0.09704478128531137,0.04968009000028003,0.14005963568482338
DeepSeek-V3,Mistral-Large-3,DeepSeek,Mistral,2024Q4,2025Q4,0,1,0,1,0.04957278147268472,0.2740157480314961,0.47540983606557374,0.43212246266954096,0.04957278147268472,0.10300630438180587,0.04894331619643359,0.005805300346105897,0.1002588976701572
DeepSeek-V3,Mistral-Medium-3,DeepSeek,Mistral,2024Q4,2025Q2,0,1,0,1,0.03323835047883385,0.26926070038910505,0.46442953020134226,0.4258739751613282,0.03323835047883385,0.06898563249432861,0.03288599590083735,-0.012856699146892702,0.08241970815315551
DeepSeek-V3,Mistral-Medium-3.5,DeepSeek,Mistral,2024Q4,2026Q2,0,1,0,1,0.08164631331057998,0.3449750534568781,0.54627539503386,0.5139388660515469,0.08164631331057998,0.16327886276072803,0.0811047540580373,0.037027501078183804,0.12729876686307645
DeepSeek-V3,Mistral-Small-2,DeepSeek,Mistral,2024Q4,2024Q3,0,1,0,1,0.03679558484769346,0.3112391930835735,0.48758465011286684,0.4748904627997909,0.03679558484769346,0.07409423675379653,0.03675252600566659,-0.004716687758786749,0.08222501430518976
DeepSeek-V3,Mistral-Small-3,DeepSeek,Mistral,2024Q4,2025Q1,0,1,0,1,0.07778730613405885,0.33526430123099205,0.5225733634311512,0.5025524279805306,0.07778730613405885,0.15567500433483472,0.07758346965269718,0.03451404201715121,0.12503191341715922
DeepSeek-V3,Mistral-Small-3.1,DeepSeek,Mistral,2024Q4,2025Q1,0,1,0,1,0.08395974908161408,0.34961075725406937,0.5575620767494357,0.5193943450926498,0.08395974908161408,0.1679427745175829,0.0831948315732137,0.04292424635373338,0.12941061960231295
DeepSeek-V3,Mistral-Small-3.2,DeepSeek,Mistral,2024Q4,2025Q2,0,1,0,1,0.034709682183544935,0.24736415247364152,0.4677914110429448,0.40129077905492994,0.034709682183544935,0.07422475903586795,0.03366349830474601,-0.009475485004687782,0.07786353271664993
DeepSeek-V3,Mistral-Small-4,DeepSeek,Mistral,2024Q4,2026Q1,0,1,0,1,0.0355128646870406,0.3314955203308063,0.5428893905191874,0.49964595193460326,0.0355128646870406,0.0715042179454406,0.03506014460170869,-0.008132271669473305,0.07728916680768537
DeepSeek-V3,Mixtral-8x22B,DeepSeek,Mistral,2024Q4,2024Q2,0,1,0,1,0.009911609574423165,0.27163280662151995,0.4490049751243781,0.4277227166869803,0.009911609574423165,0.020336727000080032,0.00987668464163275,-0.02849812762438606,0.054580931173757646
DeepSeek-V3,Mixtral-8x7B,DeepSeek,Mistral,2024Q4,2023Q4,0,1,0,1,0.05055769874966517,0.33051444679351655,0.5293453724604966,0.4977624381111779,0.05055769874966517,0.10152198079838302,0.050216550626457225,0.008626914843492164,0.0949697824154863
DeepSeek-V3,Phi-1,DeepSeek,Phi,2024Q4,2023Q2,0,1,0,1,0.06545930374510465,0.30045871559633025,0.4822085889570552,0.46248418368432015,0.06545930374510465,0.13314527856133931,0.0652869007365334,0.022543935899821975,0.10995199457588539
DeepSeek-V3,Phi-1.5,DeepSeek,Phi,2024Q4,2023Q3,0,1,0,1,0.05801546440296948,0.33777154870357395,0.5440180586907449,0.5062818523959101,0.05801546440296948,0.11646690247599797,0.057471310224591066,0.01616722225743691,0.10102525943970048
DeepSeek-V3,Phi-2,DeepSeek,Phi,2024Q4,2023Q4,0,1,0,1,0.03750544191086796,0.3001474926253687,0.4640820980615735,0.46171900554363543,0.03750544191086796,0.07589309536612497,0.037503879396903333,-0.006371770365299679,0.08032059929457348
DeepSeek-V3,Phi-3,DeepSeek,Phi,2024Q4,2024Q2,0,1,0,1,0.03893854646198446,0.3258584442887176,0.5248306997742663,0.4925350048564873,0.03893854646198446,0.0782750512943995,0.03865755823017061,-0.0025203338972004763,0.08116646823732258
DeepSeek-V3,Phi-3.5,DeepSeek,Phi,2024Q4,2024Q3,0,1,0,1,0.06433235106858783,0.34265734265734266,0.5530474040632054,0.5119398651435366,0.06433235106858783,0.12911441531035486,0.06362937255198854,0.01436350863450629,0.10855403578449364
DeepSeek-V3,Phi-4,DeepSeek,Phi,2024Q4,2024Q4,0,1,1,0,0.03654590022665918,0.35201054713249835,0.6027088036117382,0.5256073544934177,0.03654590022665918,0.07459888257915065,0.035148850129072054,-0.004483106399574268,0.08239455826448402
DeepSeek-V3,Phi-4-reasoning-plus,DeepSeek,Phi,2024Q4,2025Q2,0,1,0,1,0.021801219905286783,0.32275862068965516,0.5282167042889391,0.4894283740654324,0.021801219905286783,0.043897216274089934,0.021569315138375206,-0.019357591622528675,0.06649370873279756
DeepSeek-V3,Phi-4-reasoning-vision-15B,DeepSeek,Phi,2024Q4,2026Q1,0,1,0,1,0.03128967578428366,0.33081674673987643,0.5440180586907449,0.49901774770553836,0.03128967578428366,0.06304096180012592,0.030855570642179857,-0.011774403058550242,0.07515354754723771
DeepSeek-V3,Qwen-7B,DeepSeek,Qwen,2024Q4,2023Q3,0,1,0,1,0.05675944396308507,0.3185131195335277,0.4932279909706546,0.48324094563994263,0.05675944396308507,0.11412158733380696,0.05671988716957452,0.013769790167359507,0.09893881885743672
DeepSeek-V3,Qwen1.5,DeepSeek,Qwen,2024Q4,2024Q1,0,1,0,1,0.052592749318661466,0.3612392880685564,0.618510158013544,0.5361752895549,0.052592749318661466,0.10755248325180664,0.05037798680133197,0.007537111500065626,0.0961291572104717
DeepSeek-V3,Qwen2,DeepSeek,Qwen,2024Q4,2024Q2,0,1,0,1,0.055699000218658735,0.3124539425202653,0.4785553047404063,0.47614308117845655,0.055699000218658735,0.11225251614535099,0.05569668937178012,0.015694224537649494,0.10154894487835972
DeepSeek-V3,Qwen2.5,DeepSeek,Qwen,2024Q4,2024Q3,0,1,0,1,0.06527061303543763,0.3610738255033557,0.6072234762979684,0.5348504465899151,0.06527061303543763,0.13246328718951983,0.06316547725420889,0.020690257841757813,0.11269750545711724
DeepSeek-V3,Qwen3,DeepSeek,Qwen,2024Q4,2025Q2,0,1,0,1,0.026472664430294487,0.304253785147801,0.4762979683972912,0.4666537278262146,0.026472664430294487,0.053388985035121655,0.026454215100149076,-0.01831742800873805,0.07124803488201432
DeepSeek-V3,Qwen3.5,DeepSeek,Qwen,2024Q4,2026Q1,0,1,0,1,0.03704873312428949,0.31695156695156695,0.5022573363431151,0.4817591883378674,0.03704873312428949,0.07450907308298457,0.03693780365582012,-0.00756353469766111,0.08358381241501432
DeepSeek-V3,Qwen3.6,DeepSeek,Qwen,2024Q4,2026Q2,0,1,0,1,0.06213743721138173,0.33190578158458245,0.5248306997742663,0.4990258626840753,0.06213743721138173,0.12459876854749168,0.06186104317844686,0.019596509427126443,0.10778078578961162
DeepSeek-V3.1,DeepSeek-V3.2,DeepSeek,DeepSeek,2025Q3,2025Q4,1,0,0,1,0.0026473989555581313,0.2897196261682243,0.46751740139211134,0.4496177594044866,0.0026473989555581313,0.005358042593980804,0.0026407810897461294,-0.04187573469650273,0.04620247484949312
DeepSeek-V3.1,DeepSeek-V4,DeepSeek,DeepSeek,2025Q3,2026Q2,1,0,0,1,0.060546247043809766,0.3059087509349289,0.5024570024570024,0.4695730345422542,0.060546247043809766,0.12288656720126216,0.0601123003751449,0.015467071637938656,0.10463265781363344
DeepSeek-V3.1,Devstral-2,DeepSeek,Mistral,2025Q3,2025Q4,0,1,0,1,0.03966124580685778,0.3124098124098124,0.4881623449830891,0.4762315133082799,0.03966124580685778,0.07984435671231986,0.03962044348775985,0.0008282090511026174,0.08252820379482967
DeepSeek-V3.1,Gemma-1,DeepSeek,Gemma,2025Q3,2024Q1,0,1,0,1,0.10746582809314509,0.40315167432698623,0.6587982832618026,0.5793845252952974,0.10746582809314509,0.21825396825396826,0.10349724835789094,0.06565631775343221,0.14604355938884192
DeepSeek-V3.1,Gemma-2,DeepSeek,Gemma,2025Q3,2024Q2,0,1,0,1,0.03969236698893934,0.27349768875192604,0.492371705963939,0.43306467964572054,0.03969236698893934,0.0825991763540635,0.038763419596586385,0.0004897512221642623,0.08085171403212664
DeepSeek-V3.1,Gemma-3,DeepSeek,Gemma,2025Q3,2025Q1,0,1,0,1,0.0779880305427947,0.34099066762383345,0.509656652360515,0.508566476454703,0.0779880305427947,0.15560659075514727,0.07798740116989153,0.032724921929765095,0.12098427465397302
DeepSeek-V3.1,Gemma-3n,DeepSeek,Gemma,2025Q3,2025Q2,0,1,0,1,0.08248054681140783,0.32289336316181955,0.5142517814726841,0.4887917807325175,0.08248054681140783,0.16601898503998463,0.08213849600103512,0.03995822930903799,0.1253161916302478
DeepSeek-V3.1,Gemma-4,DeepSeek,Gemma,2025Q3,2026Q2,0,1,0,1,0.10311217580316517,0.370888733379986,0.5686695278969958,0.5417297567001995,0.10311217580316517,0.20467971275257552,0.10264753911817896,0.05774154216122029,0.14989346616639354
DeepSeek-V3.1,Gemma-4-12B,DeepSeek,Gemma,2025Q3,2026Q2,0,1,0,1,0.04253404217243904,0.2947761194029851,0.4919053549190536,0.4565952264871879,0.04253404217243904,0.08671185253732837,0.042168894510867555,0.002310595965974611,0.08442745079520617
DeepSeek-V3.1,Llama-1,DeepSeek,Llama,2025Q3,2023Q1,0,1,0,1,0.01103128699319336,0.28424908424908424,0.4725943970767357,0.4435598121308164,0.01103128699319336,0.022467900035689683,0.010961422433864842,-0.03182034305733218,0.055179052652466164
DeepSeek-V3.1,Llama-2,DeepSeek,Llama,2025Q3,2023Q3,0,1,0,1,0.05426196911131393,0.2700787401574803,0.5036710719530103,0.4305391091982588,0.05426196911131393,0.11415171579097252,0.05244565106285537,0.009349617986523255,0.09820431935468614
DeepSeek-V3.1,Llama-3,DeepSeek,Llama,2025Q3,2024Q2,0,1,0,1,0.03823723654921552,0.34685598377281945,0.5504291845493562,0.5161268782085118,0.03823723654921552,0.07670213065950135,0.037925264919129946,-0.010567023015231375,0.08239263136727015
DeepSeek-V3.1,Llama-3.1,DeepSeek,Llama,2025Q3,2024Q3,0,1,0,1,0.055981650751530145,0.34009797060881736,0.5214592274678111,0.5077518964527151,0.055981650751530145,0.11187415859991025,0.055908630376715486,0.013404613182774867,0.09537994962141116
