full_name,family,quarter,params,access,org,total_params_b,active_params_b,weights_gb_bf16,gpus_80gb_bf16,weights_gb_fp8,gpus_80gb_fp8,gpus_141gb_fp8,gpu_class,est_minutes_single_gpu
Mistral-Small-4,Mistral,2026Q1,32B,gated,mistralai,32.0,32.0,64.0,1,32.0,1,1,1x80GB,45.43367111111112
Mistral-Medium-3.5,Mistral,2026Q2,32B,gated,mistralai,32.0,32.0,64.0,1,32.0,1,1,1x80GB,45.43367111111112
Phi-1,Phi,2023Q2,1.3B,public,microsoft,1.3,1.3,2.6,1,1.3,1,1,1x80GB,1.845742888888889
Phi-1.5,Phi,2023Q3,1.3B,public,microsoft,1.3,1.3,2.6,1,1.3,1,1,1x80GB,1.845742888888889
Phi-2,Phi,2023Q4,2.7B,public,microsoft,2.7,2.7,5.4,1,2.7,1,1,1x80GB,3.833466
Phi-3,Phi,2024Q2,14B,public,microsoft,14.0,14.0,28.0,1,14.0,1,1,1x80GB,19.877231111111108
Phi-3.5,Phi,2024Q3,3.8B,public,microsoft,3.8,3.8,7.6,1,3.8,1,1,1x80GB,5.395248444444444
Phi-4,Phi,2024Q4,3.8B,public,microsoft,3.8,3.8,7.6,1,3.8,1,1,1x80GB,5.395248444444444
Phi-4-reasoning-plus,Phi,2025Q2,11B,public,microsoft,11.0,11.0,22.0,1,11.0,1,1,1x80GB,15.617824444444445
Phi-4-reasoning-vision-15B,Phi,2026Q1,15B,public,microsoft,15.0,15.0,30.0,1,15.0,1,1,1x80GB,21.29703333333333
Gemma-1,Gemma,2024Q1,7B,gated,google,7.0,7.0,14.0,1,7.0,1,1,1x80GB,9.938615555555554
Gemma-2,Gemma,2024Q2,9B,gated,google,9.0,9.0,18.0,1,9.0,1,1,1x80GB,12.778220000000001
Gemma-3,Gemma,2025Q1,27B,gated,google,27.0,27.0,54.0,1,27.0,1,1,1x80GB,38.33466
Gemma-3n,Gemma,2025Q2,4B,gated,google,4.0,4.0,8.0,1,4.0,1,1,1x80GB,5.67920888888889
Gemma-4,Gemma,2026Q2,~12B,gated,google,12.0,12.0,24.0,1,12.0,1,1,1x80GB,17.037626666666668
Gemma-4-12B,Gemma,2026Q2,12B,public,google,12.0,12.0,24.0,1,12.0,1,1,1x80GB,17.037626666666668
