family,quarter,short_name,full_name,hf_repo,params,access,lb_source,lb_model,aggregate_accuracy,per_question_source,per_question_file,per_question_benchmark,per_question_frozen,reuse_verdict,needs_inference
Mistral,2024Q3,Small,Mistral-Small-2,mistralai/Mistral-Small-Instruct-2409,24B,public,hf,mistralai/Mistral-Small-Instruct-2409,0.409906914893617,openllm_mmlu_pro,hf://datasets/open-llm-leaderboard/mistralai__Mistral-Small-Instruct-2409-details/mistralai__Mistral-Small-Instruct-2409/samples_leaderboard_mmlu_pro_2024-09-25T04-27-26.494709.jsonl,mmlu_pro,2024-09-25,cross-check-only,True
Mistral,2025Q1,S3,Mistral-Small-3,mistralai/Mistral-Small-3-24B-Instruct-2501,24B,gated,,,,,,,,none,True
Mistral,2025Q1,S3.1,Mistral-Small-3.1,mistralai/Mistral-Small-3.1-24B-Instruct-2503,24B,public,,,,,,,,none,True
Mistral,2025Q2,M3,Mistral-Medium-3,mistralai/Mistral-Medium-3.1-32B-Instruct-2503,32B,gated,,,,,,,,none,True
Mistral,2025Q2,S3.2,Mistral-Small-3.2,mistralai/Mistral-Small-3.2-24B-Instruct-2510,24B,gated,,,,,,,,none,True
Mistral,2025Q4,L3,Mistral-Large-3,mistralai/Mistral-Large-3,123B,public,,,,,,,,none,True
Mistral,2025Q4,Min3,Ministral-3,mistralai/Ministral-3B-Instruct,3B,gated,,,,,,,,none,True
Mistral,2025Q4,Dev2,Devstral-2,mistralai/Devstral-Small-2509,24B,gated,,,,,,,,none,True
Mistral,2026Q1,S4,Mistral-Small-4,mistralai/Mistral-Small-4-32B-Instruct-2603,32B,gated,,,,,,,,none,True
Mistral,2026Q2,M3.5,Mistral-Medium-3.5,mistralai/Mistral-Medium-3.5,32B,gated,,,,,,,,none,True
Phi,2023Q2,1,Phi-1,microsoft/phi-1,1.3B,public,,,,,,,,none,True
Phi,2023Q3,1.5,Phi-1.5,microsoft/phi-1_5,1.3B,public,,,,,,,,none,True
Phi,2023Q4,2,Phi-2,microsoft/phi-2,2.7B,public,helm,microsoft/phi-2,0.5656601623700328,helm_mmlu,all_mmlu_data_limitedcols.csv (Kim GitHub; not in-repo),helm_mmlu,,cross-check-only,True
Phi,2024Q2,3,Phi-3,microsoft/Phi-3-medium-4k-instruct,14B,public,helm,microsoft/phi-3-medium-4k-instruct,0.7737501780373166,openllm_mmlu_pro,hf://datasets/open-llm-leaderboard/microsoft__Phi-3-medium-4k-instruct-details/microsoft__Phi-3-medium-4k-instruct/samples_leaderboard_mmlu_pro_2024-06-17T10-38-50.763081.json,mmlu_pro,2024-06-17,cross-check-only,True
Phi,2024Q3,3.5,Phi-3.5,microsoft/Phi-3.5-mini-instruct,3.8B,public,hf,microsoft/Phi-3.5-mini-instruct,0.3961934840425531,openllm_mmlu_pro,hf://datasets/open-llm-leaderboard/microsoft__Phi-3.5-mini-instruct-details/microsoft__Phi-3.5-mini-instruct/samples_leaderboard_mmlu_pro_2024-08-21T14-30-23.941628.jsonl,mmlu_pro,2024-08-21,cross-check-only,True
Phi,2024Q4,4,Phi-4,microsoft/Phi-4-mini-instruct,3.8B,public,,,,,,,,none,True
Phi,2025Q2,4-r,Phi-4-reasoning-plus,microsoft/Phi-4-reasoning-plus,11B,public,,,,,,,,none,True
Phi,2026Q1,4-r-v,Phi-4-reasoning-vision-15B,microsoft/Phi-4-reasoning-vision-15B,15B,public,,,,,,,,none,True
Gemma,2024Q1,1,Gemma-1,google/gemma-7b,7B,gated,helm,google/gemma-7b,0.651759008688221,helm_mmlu,all_mmlu_data_limitedcols.csv (Kim GitHub; not in-repo),helm_mmlu,,cross-check-only,True
Gemma,2024Q2,2,Gemma-2,google/gemma-2-9b,9B,gated,helm,google/gemma-2-9b,0.7042444096282581,helm_mmlu,all_mmlu_data_limitedcols.csv (Kim GitHub; not in-repo),helm_mmlu,,cross-check-only,True
Gemma,2025Q1,3,Gemma-3,google/gemma-3-27b-it,27B,gated,,,,,,,,none,True
Gemma,2025Q2,3n,Gemma-3n,google/gemma-3n-4b-it,4B,gated,,,,,,,,none,True
Gemma,2026Q2,4,Gemma-4,google/gemma-4,~12B,gated,,,,,,,,none,True
Gemma,2026Q2,4-12B,Gemma-4-12B,google/gemma-4-12b-it,12B,public,,,,,,,,none,True
